1,49,44,40
2,42,41,50
3,36,45,54
4,33,42,53
5,37,37,50
6,37,41,45
7,34,58,54
8,39,72,80
9,56,63,87
10,57,77,204
11,62,84,607
12,78,77,1784
13,94,95,2596
14,150,113,2956
15,183,134,3169
16,215,142,3387
17,198,163,2836
18,218,164,1620
19,201,206,
20,241,214,
21,238,250,
22,230,244,
23,214,218,
24,229,208,
25,233,198,
26,227,177,
27,227,173,
28,205,176,
29,179,187,
30,148,168,
31,125,133,
32,89,109,
33,111,102,
34,119,91,
35,85,74,
36,70,77,
37,73,73,
38,67,62,
39,50,60,
40,43,65,
41,60,55,
42,48,64,
43,36,53,
44,35,46,
45,37,49,
46,41,46,
47,43,46,
48,44,29,
49,38,54,
50,35,34,
51,34,46,
52,29,25,
